Diputada	url wikidata
Adriana Muñoz D'Albora	http://www.wikidata.org/entity/Q5658359
Alejandra Sepúlveda Orbenes	http://www.wikidata.org/entity/Q5664721
Amanda Elisa Altamirano Guerrero	http://www.wikidata.org/entity/Q5671669
Amelia Herrera Silva	http://www.wikidata.org/entity/Q5672323
Ana Eugenia Ugalde Arias	http://www.wikidata.org/entity/Q5673745
Ana María Rodríguez Rodríguez	NO EXISTE EN WIKI
Andrea Molina Oliva	http://www.wikidata.org/entity/Q5675205
Antonella Sciaraffia Estrada	NO EXISTE EN WIKI
Aracely Andrea Leuquén Uribe	http://www.wikidata.org/entity/Q55844723
Blanca Adelina Retamal Contreras	http://www.wikidata.org/entity/Q5729820
Camila Alejandra Flores Oporto	http://www.wikidata.org/entity/Q55410029
Camila Antonia Amaranta Vallejo Dowling	http://www.wikidata.org/entity/Q242230
Camila Ruzlay Rojas Valderrama	http://www.wikidata.org/entity/Q47087256
Carmen Adelaida Hertz Cádiz	http://www.wikidata.org/entity/Q16543585
Carmen Ibáñez Soto	http://www.wikidata.org/entity/Q5478697
Carmen Lazo Carrera	http://www.wikidata.org/entity/Q5752574
Carolina Goic Boroevic	http://www.wikidata.org/entity/Q5044837
Carolina Tohá Morales	http://www.wikidata.org/entity/Q3660574
Catalina Ilona Io Pérez Salinas	http://www.wikidata.org/entity/Q50963163
Claudia Nathalie Mix Jimenez	http://www.wikidata.org/entity/Q50955539
Claudia Nogueira Fernández	http://www.wikidata.org/entity/Q5648704
Clemira Pacheco Rivas	https://www.wikidata.org/wiki/Q16301478
Cristina Girardi Lavín	http://www.wikidata.org/entity/Q5411507
Daniella Valentina Cicardini Milla	http://www.wikidata.org/entity/Q16298404
Denise Pascal Allende	http://www.wikidata.org/entity/Q5802697
Eliana Araníbar Figueroa	http://www.wikidata.org/entity/Q8774809
Eliana Caraball Martínez	https://www.wikidata.org/wiki/Q20013782
Emilia Iris Nuyado Ancapichún	http://www.wikidata.org/entity/Q44977716
Erika Alejandra Olivera de la Fuente	http://www.wikidata.org/entity/Q8078419
Evelyn Matthei Fornet	http://www.wikidata.org/entity/Q8846905
Fanny Pollarolo Villa	http://www.wikidata.org/entity/Q5855924
Fidelma Allende Miranda	http://www.wikidata.org/entity/Q5861601
Francesca Elizabeth Andrea Muñoz González	https://www.wikidata.org/wiki/Q55412188
Gael Fernanda Yeomans Araya	http://www.wikidata.org/entity/Q51144757
Gladys del Carmen Marín Millie	http://www.wikidata.org/entity/Q273925
Graciela Lacoste Navarro	https://www.wikidata.org/wiki/Q20015907
Inés Leonor Enríquez Frodden	http://www.wikidata.org/entity/Q6449191
Irle Andrea Parra Sauterel	http://www.wikidata.org/entity/Q50426468
Jenny Álvarez Vera	http://www.wikidata.org/entity/Q19949648
Joanna Elena Pérez Olea	http://www.wikidata.org/entity/Q51140307
Juana Dip Muhana	https://www.wikidata.org/wiki/Q19766013
Julieta Campusano Chávez	http://www.wikidata.org/entity/Q6308939
Karin Claudia Luck Urban	http://www.wikidata.org/entity/Q55844710
Karla Rubilar Barahona	http://www.wikidata.org/entity/Q5958343
Karol Aída Cariola Oliva	http://www.wikidata.org/entity/Q510917
Laura Allende Gossens	http://www.wikidata.org/entity/Q507514
Laura Fiora Rodríguez Riccomini	http://www.wikidata.org/entity/Q6499373
Laura Soto González	http://www.wikidata.org/entity/Q5971703
Lía Lafaye Torres	http://www.wikidata.org/entity/Q19694716
Lily Jovanka Pérez San Martín	http://www.wikidata.org/entity/Q5976459
Maite Orsini Pascal	http://www.wikidata.org/entity/Q614776
Marcela Constanza Sabat Fernández	http://www.wikidata.org/entity/Q5995537
Marcela Cubillos Sigall	http://www.wikidata.org/entity/Q5995504
Marcela Ximena Hernando Pérez	http://www.wikidata.org/entity/Q5995515
Margarita Paluz Rivas	NO EXISTE EN WIKI
María Adela Maluenda Campos	http://www.wikidata.org/entity/Q6004266
María Angélica Cristi Marfil	http://www.wikidata.org/entity/Q5656484
María Antonieta Saa Díaz	http://www.wikidata.org/entity/Q6003380
María Catalina Del Real Mihovilovic	https://www.wikidata.org/wiki/Q55381574
María Cristina Correa Morandé	https://www.wikidata.org/wiki/Q18644030
María Eugenia Mella Gajardo	NO EXISTE EN WIKI
María Inés Aguilera Castro	http://www.wikidata.org/entity/Q19756510
María Isabel Allende Bussi	http://www.wikidata.org/entity/Q451359
María José Hoffmann Opazo	http://www.wikidata.org/entity/Q6004050
María Loreto Carvajal Ambiado	http://www.wikidata.org/entity/Q26764059
María Pía Guzmán Mena	http://www.wikidata.org/entity/Q16623544
María Rozas Velásquez	http://www.wikidata.org/entity/Q6004540
María Silvia Micaela Correa Marín	NO EXISTE EN WIKI
María Victoria Ovalle Ovalle	http://www.wikidata.org/entity/Q6004763
María Ximena Ossandón Irarrázabal	https://www.wikidata.org/wiki/Q59161766
Mariana Aylwin Oyarzún	http://www.wikidata.org/entity/Q5997406
Marina Prochelle Aguilar	NO EXISTE EN WIKI
Marisela del Carmen Santibáñez Novoa	http://www.wikidata.org/entity/Q5999320
Marisol Turres Figueroa	http://www.wikidata.org/entity/Q5999370
Marta Carolina Marzán Pinto	http://www.wikidata.org/entity/Q21503376
Marta Eliana Isasi Barbieri	http://www.wikidata.org/entity/Q5810049
Martita Elvira Worner Tapia	NO EXISTE EN WIKI
Maya Alejandra Fernández Allende	http://www.wikidata.org/entity/Q5818156
Mireya Baltra Moreno	http://www.wikidata.org/entity/Q9033569
Mónica Beatriz Zalaquett Said	http://www.wikidata.org/entity/Q16302468
Natalia Valentina Castillo Muñoz	https://www.wikidata.org/wiki/Q54801041
Pabla Toledo Obando	NO EXISTE EN WIKI
Pamela Jiles Moreno	http://www.wikidata.org/entity/Q501161
Paulina Andrea Núñez Urrutia	http://www.wikidata.org/entity/Q16301870
Romy Rebolledo Leyton	https://www.wikidata.org/wiki/Q32468584
Rosa González Román	http://www.wikidata.org/entity/Q6112174
Sandra Haydée Amar Mancilla	http://www.wikidata.org/entity/Q55843093
Silvia Alessandri Montes	http://www.wikidata.org/entity/Q6128514
Silvia Costa Espinoza	https://www.wikidata.org/wiki/Q20014262
Silvia Emiliana Pinto Torres	http://www.wikidata.org/entity/Q5860564
Silvia Victoria Araya González	http://www.wikidata.org/entity/Q6128618
Sofía Slovena Cid Versalovic	https://www.wikidata.org/wiki/Q55412195
Vilma Eliana Rojas Alfaro	http://www.wikidata.org/entity/Q6163096
Virginia Eugenia Troncoso Hellman	https://www.wikidata.org/wiki/Q54912080
Wilna Yolanda Saavedra Cortés	http://www.wikidata.org/entity/Q5787623
Ximena Valcarce Becerra	http://www.wikidata.org/entity/Q6169264
Ximena Vidal Lázaro	http://www.wikidata.org/entity/Q16302791
Yasna Provoste Campillay	http://www.wikidata.org/entity/Q3571936
